Frame,Sub Frame,"Rotation (Helical) - TelloUWB22",,
,,"RX","RY","RZ"
Frames,Frames,"°","°","°"
351,0,"-0.870418","6.9368","178.063"
352,0,"-0.408631","7.0133","178.089"
353,0,"-0.418746","7.01551","178.093"
354,0,"-0.430227","7.0328","178.088"
355,0,"0.85822","6.29565","178.823"
356,0,"-0.440114","7.00767","178.092"
357,0,"-0.43903","7.02314","178.075"
358,0,"0.854816","6.30385","178.819"
359,0,"-0.396689","7.05866","178.093"
360,0,"-0.879164","6.92709","178.062"
361,0,"-0.434387","7.03927","178.084"
362,0,"-0.881675","6.9074","178.069"
363,0,"-0.425219","7.02158","178.087"
364,0,"-0.416859","7.01681","178.1"
365,0,"-0.416911","7.05061","178.087"
366,0,"-0.433247","7.05811","178.078"
367,0,"-0.868156","6.89881","178.077"
368,0,"0.878184","6.32462","178.809"
369,0,"-0.640525","6.86815","178.214"
370,0,"-0.401254","7.04305","178.08"
371,0,"-0.409379","7.0237","178.096"
372,0,"-0.435809","7.0389","178.09"
373,0,"0.879032","6.2962","178.813"
374,0,"-0.434057","7.04587","178.082"
375,0,"-0.415501","7.05443","178.089"
376,0,"-0.424094","7.02569","178.09"
377,0,"-0.444089","7.04906","178.072"
378,0,"-0.898333","6.90078","178.069"
379,0,"-0.444374","7.03313","178.089"
380,0,"0.33328","7.31407","177.818"
381,0,"-0.0839114","7.6569","177.826"
382,0,"-0.416211","7.05863","178.091"
383,0,"-0.406034","7.01062","178.083"
384,0,"-0.425776","7.01558","178.094"
385,0,"-0.436811","7.0507","178.092"
386,0,"-0.44299","7.04245","178.079"
387,0,"-0.0459023","7.63298","177.839"
388,0,"-0.424674","7.03311","178.09"
389,0,"-0.669768","6.8615","178.212"
390,0,"0.842285","6.29022","178.817"
391,0,"-0.427476","7.00949","178.103"
392,0,"0.870121","6.30675","178.821"
393,0,"-0.406087","7.01324","178.098"
394,0,"-0.441915","7.0136","178.095"
395,0,"-0.419011","7.05127","178.086"
396,0,"-0.411311","7.04251","178.077"
397,0,"-0.886139","6.90314","178.067"
398,0,"-0.885654","6.90838","178.073"
399,0,"-0.896064","6.93861","178.061"
400,0,"-0.44057","7.04738","178.089"
401,0,"0.878437","6.29426","178.836"
402,0,"-0.415418","7.03088","178.087"
403,0,"-0.888132","6.92644","178.078"
404,0,"-0.677067","6.8732","178.218"
405,0,"-0.416537","7.02076","178.095"
406,0,"-0.423587","7.03642","178.084"
407,0,"-0.632263","6.8884","178.216"
408,0,"-0.416963","7.02683","178.096"
409,0,"-0.674067","6.8674","178.209"
410,0,"0.922143","6.31581","178.82"
411,0,"-0.918577","6.92062","178.081"
412,0,"0.896156","6.32242","178.811"
413,0,"-0.86169","6.9441","178.063"
414,0,"-0.39933","7.02732","178.085"
415,0,"-0.439824","7.07177","178.075"
416,0,"0.892023","6.30855","178.826"
417,0,"-0.90308","6.90083","178.061"
418,0,"-0.432132","7.02097","178.096"
419,0,"-0.896419","6.92854","178.061"
420,0,"-0.428787","7.03136","178.079"
421,0,"-0.417624","7.06566","178.081"
422,0,"0.906808","6.33914","178.816"
423,0,"-0.428129","7.02359","178.096"
424,0,"0.877268","6.34086","178.804"
425,0,"-0.413114","7.03988","178.095"
426,0,"0.875288","6.28672","178.829"
427,0,"-0.448751","7.04692","178.086"
428,0,"-0.410605","7.05202","178.092"
429,0,"-0.387864","7.01755","178.097"
430,0,"-0.429496","7.0379","178.085"
431,0,"0.89187","6.26571","178.838"
432,0,"-0.88715","6.94123","178.066"
433,0,"-0.452073","7.02165","178.085"
434,0,"-0.432452","7.04944","178.077"
435,0,"-0.455973","7.02746","178.084"
436,0,"-0.876713","6.92367","178.059"
437,0,"-0.658092","6.88779","178.21"
438,0,"-0.420369","7.06399","178.086"
439,0,"-0.864787","6.9061","178.062"
440,0,"0.866817","6.32184","178.814"
441,0,"-0.657085","6.88158","178.218"
442,0,"-0.445312","7.02438","178.087"
443,0,"-0.263427","6.50181","178.183"
444,0,"-0.901848","6.92356","178.074"
445,0,"-0.443388","7.04229","178.084"
446,0,"0.885904","6.28399","178.834"
447,0,"0.876592","6.31525","178.821"
448,0,"-0.664916","6.90061","178.207"
449,0,"-0.66964","6.84893","178.233"
450,0,"-0.885907","6.917","178.067"
451,0,"-0.425244","7.0484","178.085"
452,0,"-0.429949","7.05405","178.088"
453,0,"-0.446448","7.05582","178.085"
454,0,"0.906495","6.31578","178.82"
455,0,"-0.653807","6.85153","178.224"
456,0,"-0.442359","7.04218","178.087"
457,0,"-0.435833","7.01474","178.089"
458,0,"0.880915","6.30616","178.821"
459,0,"0.857182","6.29274","178.818"
460,0,"-0.439674","7.06269","178.087"
461,0,"-0.662364","6.87553","178.211"
462,0,"-0.392484","7.04749","178.082"
463,0,"0.851243","6.2889","178.82"
464,0,"0.852576","6.30224","178.822"
465,0,"0.870699","6.32373","178.811"
466,0,"-0.878983","6.92972","178.049"
467,0,"0.888392","6.30926","178.837"
468,0,"0.883574","6.30391","178.818"
469,0,"-0.898318","6.90057","178.063"
470,0,"-0.403371","7.04204","178.08"
471,0,"-0.441175","7.03702","178.088"
472,0,"-0.88529","6.90413","178.069"
473,0,"-0.415053","7.04568","178.089"
474,0,"-0.416211","7.07057","178.082"
475,0,"0.85954","6.32036","178.813"
476,0,"-0.419372","7.07095","178.084"
477,0,"0.858588","6.29982","178.814"
478,0,"0.86817","6.30669","178.816"
479,0,"-0.882706","6.9298","178.067"
480,0,"-0.443516","7.05127","178.085"
481,0,"-0.665517","6.84661","178.212"
482,0,"-0.423651","7.03459","178.087"
483,0,"-0.896526","6.88325","178.062"
484,0,"-0.652107","6.86955","178.224"
485,0,"-0.425659","7.05692","178.097"
486,0,"-0.411639","7.05295","178.086"
487,0,"-0.428146","7.03787","178.084"
488,0,"0.852332","6.31073","178.819"
489,0,"-0.645504","6.85851","178.204"
490,0,"-0.443751","7.01968","178.088"
491,0,"-0.426232","7.02987","178.081"
492,0,"-0.449154","7.03354","178.088"
493,0,"0.846126","6.31157","178.812"
494,0,"-0.450538","6.99874","178.089"
495,0,"0.875095","6.33077","178.806"
496,0,"-0.911845","6.92998","178.063"
497,0,"-0.407418","7.03595","178.09"
498,0,"-0.448409","7.03635","178.084"
499,0,"-0.413852","7.04662","178.086"
500,0,"-0.408064","7.0477","178.084"
501,0,"-0.447309","7.02867","178.082"
502,0,"0.860849","6.29869","178.822"
503,0,"-0.445276","7.02201","178.097"
504,0,"0.892775","6.31239","178.816"
505,0,"-0.895162","6.92731","178.064"
506,0,"-0.673894","6.89278","178.21"
507,0,"-0.653869","6.90229","178.228"
508,0,"-0.67634","6.88685","178.217"
509,0,"0.179151","7.61061","177.994"
510,0,"0.864276","6.29108","178.825"
511,0,"-0.415347","7.055","178.08"
512,0,"-0.418849","7.0646","178.08"
513,0,"-0.953197","6.96337","178.023"
514,0,"-0.41784","7.04948","178.08"
515,0,"0.893137","6.31003","178.823"
516,0,"-0.903253","6.91451","178.073"
517,0,"-0.420709","7.04298","178.087"
518,0,"-0.428688","7.01414","178.096"
519,0,"0.876925","6.29956","178.824"
520,0,"-0.42991","7.01176","178.094"
521,0,"-0.661479","6.86987","178.222"
522,0,"-0.898255","6.9315","178.067"
523,0,"-0.436178","7.02616","178.089"
524,0,"-0.434945","7.03548","178.095"
525,0,"-0.424692","7.03558","178.089"
526,0,"-0.882437","6.90431","178.073"
527,0,"-0.446913","7.02615","178.083"
528,0,"-0.430798","7.0451","178.09"
529,0,"0.866723","6.30666","178.821"
530,0,"-0.87459","6.94324","178.061"
531,0,"-0.447116","7.04218","178.093"
532,0,"-0.900503","6.87111","178.076"
533,0,"-0.438098","7.02856","178.077"
534,0,"0.853816","6.27693","178.819"
535,0,"-0.919741","6.90828","178.06"
536,0,"-0.892695","6.91612","178.065"
537,0,"-0.654168","6.90002","178.215"
538,0,"0.840676","6.27184","178.83"
539,0,"-0.873986","6.89949","178.091"
540,0,"0.889792","6.31348","178.808"
541,0,"-0.410046","7.02601","178.097"
542,0,"-0.914752","6.88573","178.086"
543,0,"-0.653147","6.88204","178.211"
544,0,"-0.4234","7.04283","178.091"
545,0,"0.884349","6.28729","178.823"
546,0,"-0.871185","6.92764","178.055"
547,0,"-0.893468","6.90822","178.073"
548,0,"0.868451","6.30757","178.83"
549,0,"0.886939","6.31307","178.816"
550,0,"-0.334005","7.44256","177.979"
551,0,"-0.422053","7.05298","178.087"
552,0,"-0.903603","6.90915","178.084"
553,0,"0.877951","6.30041","178.818"
554,0,"-0.424953","7.03959","178.09"
555,0,"-0.886439","6.87992","178.08"
556,0,"-0.410681","7.05957","178.085"
557,0,"-0.877328","6.94088","178.06"
558,0,"-0.425603","7.05282","178.1"
559,0,"-0.882513","6.9029","178.066"
560,0,"0.875413","6.29082","178.829"
561,0,"0.83301","6.30149","178.817"
562,0,"-0.683855","6.84458","178.229"
563,0,"-0.443457","7.03935","178.093"
564,0,"-0.891967","6.90075","178.073"
565,0,"-0.439049","7.02273","178.09"
566,0,"0.864776","6.28872","178.829"
567,0,"-0.682403","6.88964","178.214"
568,0,"-0.906855","6.95448","178.059"
569,0,"-0.428666","7.03965","178.09"
570,0,"-0.4423","7.01788","178.083"
571,0,"-0.447196","7.01153","178.094"
572,0,"-0.670128","6.90726","178.212"
573,0,"-0.432634","7.0382","178.082"
574,0,"0.884588","6.32397","178.817"
575,0,"0.89205","6.29657","178.821"
576,0,"-0.425038","7.05139","178.082"
577,0,"0.844303","6.28096","178.825"
578,0,"-0.427616","7.03059","178.091"
579,0,"0.873006","6.26565","178.842"
580,0,"-0.895684","6.93036","178.061"
581,0,"-0.672146","6.85325","178.215"
582,0,"-0.439834","7.02515","178.091"
583,0,"-0.884923","6.94159","178.062"
584,0,"-0.430415","7.01613","178.096"
585,0,"-0.413907","7.04003","178.085"
586,0,"-0.433208","7.03323","178.086"
587,0,"0.88972","6.31034","178.822"
588,0,"0.896739","6.30911","178.823"
589,0,"-0.431536","7.01895","178.079"
590,0,"-0.424084","7.04376","178.083"
591,0,"-0.400107","7.04339","178.091"
592,0,"-0.852429","6.94073","178.072"
593,0,"-0.858906","6.91262","178.066"
594,0,"-0.442081","7.03927","178.078"
595,0,"-0.421478","7.04789","178.097"
596,0,"-0.442179","7.03529","178.092"
597,0,"-0.437639","7.04529","178.09"
598,0,"-0.425919","7.04671","178.086"
599,0,"-0.641672","6.86641","178.212"
600,0,"0.912466","6.33329","178.822"
601,0,"-0.445085","7.03959","178.1"
602,0,"0.877285","6.31424","178.822"
603,0,"-0.73399","6.89293","178.203"
604,0,"-0.459989","6.99868","178.084"
605,0,"-0.653744","6.86277","178.214"
606,0,"-0.889191","6.93066","178.066"
607,0,"-0.419338","7.05241","178.094"
608,0,"-0.647713","6.91378","178.205"
609,0,"-0.867313","6.9002","178.066"
610,0,"-0.419139","7.02975","178.078"
611,0,"-0.415834","7.04645","178.086"
612,0,"-0.431532","7.04429","178.089"
613,0,"-0.671443","6.88131","178.213"
614,0,"0.901671","6.32136","178.827"
615,0,"-0.88173","6.91003","178.067"
616,0,"-0.430177","7.05752","178.095"
617,0,"-0.418","7.02826","178.094"
618,0,"-0.431078","7.01487","178.093"
619,0,"-0.455374","7.01043","178.09"
620,0,"0.886051","6.30488","178.82"
621,0,"0.92694","6.32108","178.819"
622,0,"-0.430524","7.0444","178.084"
623,0,"-0.411822","7.02966","178.095"
624,0,"-0.659157","6.89708","178.222"
625,0,"0.886994","6.28057","178.824"
626,0,"-0.450515","7.04873","178.075"
627,0,"-0.441334","7.03363","178.094"
628,0,"-0.416577","7.04949","178.085"
629,0,"-0.888839","6.89148","178.063"
630,0,"-0.437975","7.02549","178.091"
631,0,"-0.439676","7.06363","178.087"
632,0,"-0.659143","6.85812","178.209"
633,0,"-0.436556","7.01981","178.091"
634,0,"-0.653135","6.86632","178.207"
635,0,"-0.411568","7.03104","178.095"
636,0,"-0.894888","6.92169","178.047"
637,0,"-0.863805","6.92172","178.073"
638,0,"-0.432926","7.04453","178.084"
639,0,"0.897895","6.3255","178.814"
640,0,"-0.658416","6.85395","178.214"
641,0,"-0.441119","7.04301","178.094"
642,0,"-0.45177","7.016","178.092"
643,0,"-0.719859","6.86151","178.215"
644,0,"0.86541","6.27937","178.827"
645,0,"-0.663387","6.88364","178.209"
646,0,"-0.405929","7.0358","178.093"
647,0,"0.852591","6.30674","178.82"
648,0,"-0.429667","7.01791","178.088"
649,0,"-0.90469","6.93373","178.063"
650,0,"-0.43459","7.01166","178.103"
651,0,"-0.438419","7.03524","178.097"
652,0,"-0.439044","7.01597","178.086"
653,0,"-0.870803","6.92171","178.084"
654,0,"-0.674721","6.8993","178.206"
655,0,"0.921949","6.32636","178.823"
656,0,"-0.879897","6.90023","178.075"
657,0,"-0.66031","6.88032","178.215"
658,0,"-0.41978","7.05392","178.095"
659,0,"-0.411096","7.03472","178.093"
660,0,"-0.6744","6.87573","178.214"
661,0,"-0.409563","7.06147","178.094"
662,0,"-0.433521","7.05494","178.094"
663,0,"-0.444896","7.04167","178.076"
664,0,"0.875832","6.29004","178.838"
